 === Starting experiment === 
 Reward condition: Left arm Better, Observation: [CENTER, No reward, Null]
[Step 83] Action: [Move to LEFT ARM]
[Step 83] Observation: [LEFT ARM,  Reward!, Null]
[Step 84] Action: [Move to LEFT ARM]
[Step 84] Observation: [LEFT ARM,  Reward!, Null]
[Step 85] Action: [Move to LEFT ARM]
[Step 85] Observation: [LEFT ARM,  Reward!, Null]
[Step 86] Action: [Move to LEFT ARM]
[Step 86] Observation: [LEFT ARM,  Reward!, Null]
[Step 87] Action: [Move to LEFT ARM]
[Step 87] Observation: [LEFT ARM,  Reward!, Null]
[Step 88] Action: [Move to LEFT ARM]
[Step 88] Observation: [LEFT ARM,  Reward!, Null]
[Step 89] Action: [Move to LEFT ARM]
[Step 89] Observation: [LEFT ARM,  Reward!, Null]
[Step 90] Action: [Move to LEFT ARM]
[Step 90] Observation: [LEFT ARM,  Reward!, Null]
[Step 91] Action: [Move to LEFT ARM]
[Step 91] Observation: [LEFT ARM,  Reward!, Null]
[Step 92] Action: [Move to LEFT ARM]
[Step 92] Observation: [LEFT ARM,  Reward!, Null]
[Step 93] Action: [Move to LEFT ARM]
[Step 93] Observation: [LEFT ARM,  Reward!, Null]
[Step 94] Action: [Move to LEFT ARM]
[Step 94] Observation: [LEFT ARM,  Reward!, Null]
[Step 95] Action: [Move to LEFT ARM]
[Step 95] Observation: [LEFT ARM,  Reward!, Null]
[Step 96] Action: [Move to LEFT ARM]
[Step 96] Observation: [LEFT ARM,  Reward!, Null]
[Step 97] Action: [Move to LEFT ARM]
[Step 97] Observation: [LEFT ARM,  Reward!, Null]
[Step 98] Action: [Move to LEFT ARM]
[Step 98] Observation: [LEFT ARM,  Reward!, Null]
[Step 99] Action: [Move to LEFT ARM]
[Step 99] Observation: [LEFT ARM,  Loss!, Null]
[Step 100] Action: [Move to LEFT ARM]
[Step 100] Observation: [LEFT ARM,  Reward!, Null]
[Step 101] Action: [Move to LEFT ARM]
[Step 101] Observation: [LEFT ARM,  Reward!, Null]
[Step 102] Action: [Move to LEFT ARM]
[Step 102] Observation: [LEFT ARM,  Reward!, Null]
[Step 103] Action: [Move to LEFT ARM]
[Step 103] Observation: [LEFT ARM,  Reward!, Null]
[Step 104] Action: [Move to LEFT ARM]
[Step 104] Observation: [LEFT ARM,  Loss!, Null]
[Step 105] Action: [Move to LEFT ARM]
[Step 105] Observation: [LEFT ARM,  Reward!, Null]
[Step 106] Action: [Move to LEFT ARM]
[Step 106] Observation: [LEFT ARM,  Reward!, Null]
[Step 107] Action: [Move to LEFT ARM]
[Step 107] Observation: [LEFT ARM,  Reward!, Null]
[Step 108] Action: [Move to LEFT ARM]
[Step 108] Observation: [LEFT ARM,  Reward!, Null]
[Step 109] Action: [Move to LEFT ARM]
[Step 109] Observation: [LEFT ARM,  Reward!, Null]
[Step 110] Action: [Move to LEFT ARM]
[Step 110] Observation: [LEFT ARM,  Reward!, Null]
[Step 111] Action: [Move to LEFT ARM]
[Step 111] Observation: [LEFT ARM,  Loss!, Null]
[Step 112] Action: [Move to LEFT ARM]
[Step 112] Observation: [LEFT ARM,  Reward!, Null]
[Step 113] Action: [Move to LEFT ARM]
[Step 113] Observation: [LEFT ARM,  Loss!, Null]
[Step 114] Action: [Move to LEFT ARM]
[Step 114] Observation: [LEFT ARM,  Reward!, Null]
[Step 115] Action: [Move to LEFT ARM]
[Step 115] Observation: [LEFT ARM,  Loss!, Null]
[Step 116] Action: [Move to LEFT ARM]
[Step 116] Observation: [LEFT ARM,  Reward!, Null]
[Step 117] Action: [Move to LEFT ARM]
[Step 117] Observation: [LEFT ARM,  Reward!, Null]
[Step 118] Action: [Move to LEFT ARM]
[Step 118] Observation: [LEFT ARM,  Reward!, Null]
[Step 119] Action: [Move to LEFT ARM]
[Step 119] Observation: [LEFT ARM,  Reward!, Null]
[Step 120] Action: [Move to LEFT ARM]
[Step 120] Observation: [LEFT ARM,  Reward!, Null]
[Step 121] Action: [Move to LEFT ARM]
[Step 121] Observation: [LEFT ARM,  Reward!, Null]
[Step 122] Action: [Move to LEFT ARM]
[Step 122] Observation: [LEFT ARM,  Reward!, Null]
[Step 123] Action: [Move to LEFT ARM]
[Step 123] Observation: [LEFT ARM,  Reward!, Null]
[Step 124] Action: [Move to LEFT ARM]
[Step 124] Observation: [LEFT ARM,  Reward!, Null]
[Step 125] Action: [Move to LEFT ARM]
[Step 125] Observation: [LEFT ARM,  Reward!, Null]
[Step 126] Action: [Move to LEFT ARM]
[Step 126] Observation: [LEFT ARM,  Reward!, Null]
[Step 127] Action: [Move to LEFT ARM]
[Step 127] Observation: [LEFT ARM,  Loss!, Null]
[Step 128] Action: [Move to LEFT ARM]
[Step 128] Observation: [LEFT ARM,  Reward!, Null]
[Step 129] Action: [Move to LEFT ARM]
[Step 129] Observation: [LEFT ARM,  Reward!, Null]
[Step 130] Action: [Move to LEFT ARM]
[Step 130] Observation: [LEFT ARM,  Reward!, Null]
[Step 131] Action: [Move to LEFT ARM]
[Step 131] Observation: [LEFT ARM,  Reward!, Null]
[Step 132] Action: [Move to LEFT ARM]
[Step 132] Observation: [LEFT ARM,  Reward!, Null]
[Step 133] Action: [Move to LEFT ARM]
[Step 133] Observation: [LEFT ARM,  Reward!, Null]
[Step 134] Action: [Move to LEFT ARM]
[Step 134] Observation: [LEFT ARM,  Reward!, Null]
[Step 135] Action: [Move to LEFT ARM]
[Step 135] Observation: [LEFT ARM,  Reward!, Null]
[Step 136] Action: [Move to LEFT ARM]
[Step 136] Observation: [LEFT ARM,  Reward!, Null]
[Step 137] Action: [Move to LEFT ARM]
[Step 137] Observation: [LEFT ARM,  Reward!, Null]
[Step 138] Action: [Move to LEFT ARM]
[Step 138] Observation: [LEFT ARM,  Loss!, Null]
[Step 139] Action: [Move to LEFT ARM]
[Step 139] Observation: [LEFT ARM,  Loss!, Null]
[Step 140] Action: [Move to LEFT ARM]
[Step 140] Observation: [LEFT ARM,  Reward!, Null]
[Step 141] Action: [Move to LEFT ARM]
[Step 141] Observation: [LEFT ARM,  Reward!, Null]
[Step 142] Action: [Move to LEFT ARM]
[Step 142] Observation: [LEFT ARM,  Reward!, Null]
[Step 143] Action: [Move to LEFT ARM]
[Step 143] Observation: [LEFT ARM,  Reward!, Null]
[Step 144] Action: [Move to LEFT ARM]
[Step 144] Observation: [LEFT ARM,  Reward!, Null]
[Step 145] Action: [Move to LEFT ARM]
[Step 145] Observation: [LEFT ARM,  Reward!, Null]
[Step 146] Action: [Move to LEFT ARM]
[Step 146] Observation: [LEFT ARM,  Reward!, Null]
[Step 147] Action: [Move to LEFT ARM]
[Step 147] Observation: [LEFT ARM,  Reward!, Null]
[Step 148] Action: [Move to LEFT ARM]
[Step 148] Observation: [LEFT ARM,  Reward!, Null]
[Step 149] Action: [Move to LEFT ARM]
[Step 149] Observation: [LEFT ARM,  Reward!, Null]
[Step 150] Action: [Move to LEFT ARM]
[Step 150] Observation: [LEFT ARM,  Reward!, Null]
[Step 151] Action: [Move to LEFT ARM]
[Step 151] Observation: [LEFT ARM,  Reward!, Null]
[Step 152] Action: [Move to LEFT ARM]
[Step 152] Observation: [LEFT ARM,  Reward!, Null]
[Step 153] Action: [Move to LEFT ARM]
[Step 153] Observation: [LEFT ARM,  Reward!, Null]
[Step 154] Action: [Move to LEFT ARM]
[Step 154] Observation: [LEFT ARM,  Reward!, Null]
[Step 155] Action: [Move to LEFT ARM]
[Step 155] Observation: [LEFT ARM,  Loss!, Null]
[Step 156] Action: [Move to LEFT ARM]
[Step 156] Observation: [LEFT ARM,  Reward!, Null]
[Step 157] Action: [Move to LEFT ARM]
[Step 157] Observation: [LEFT ARM,  Loss!, Null]
[Step 158] Action: [Move to LEFT ARM]
[Step 158] Observation: [LEFT ARM,  Reward!, Null]
[Step 159] Action: [Move to LEFT ARM]
[Step 159] Observation: [LEFT ARM,  Reward!, Null]
[Step 160] Action: [Move to LEFT ARM]
[Step 160] Observation: [LEFT ARM,  Loss!, Null]
[Step 161] Action: [Move to LEFT ARM]
[Step 161] Observation: [LEFT ARM,  Reward!, Null]
[Step 162] Action: [Move to LEFT ARM]
[Step 162] Observation: [LEFT ARM,  Loss!, Null]
[Step 163] Action: [Move to LEFT ARM]
[Step 163] Observation: [LEFT ARM,  Reward!, Null]
[Step 164] Action: [Move to LEFT ARM]
[Step 164] Observation: [LEFT ARM,  Reward!, Null]
[Step 165] Action: [Move to LEFT ARM]
[Step 165] Observation: [LEFT ARM,  Reward!, Null]
[Step 166] Action: [Move to LEFT ARM]
[Step 166] Observation: [LEFT ARM,  Reward!, Null]
[Step 167] Action: [Move to LEFT ARM]
[Step 167] Observation: [LEFT ARM,  Reward!, Null]
[Step 168] Action: [Move to LEFT ARM]
[Step 168] Observation: [LEFT ARM,  Reward!, Null]
[Step 169] Action: [Move to LEFT ARM]
[Step 169] Observation: [LEFT ARM,  Reward!, Null]
[Step 170] Action: [Move to LEFT ARM]
[Step 170] Observation: [LEFT ARM,  Loss!, Null]
[Step 171] Action: [Move to LEFT ARM]
[Step 171] Observation: [LEFT ARM,  Reward!, Null]
[Step 172] Action: [Move to LEFT ARM]
[Step 172] Observation: [LEFT ARM,  Reward!, Null]
[Step 173] Action: [Move to LEFT ARM]
[Step 173] Observation: [LEFT ARM,  Reward!, Null]
[Step 174] Action: [Move to LEFT ARM]
[Step 174] Observation: [LEFT ARM,  Reward!, Null]
[Step 175] Action: [Move to LEFT ARM]
[Step 175] Observation: [LEFT ARM,  Reward!, Null]
[Step 176] Action: [Move to LEFT ARM]
[Step 176] Observation: [LEFT ARM,  Loss!, Null]
[Step 177] Action: [Move to LEFT ARM]
[Step 177] Observation: [LEFT ARM,  Reward!, Null]
[Step 178] Action: [Move to LEFT ARM]
[Step 178] Observation: [LEFT ARM,  Loss!, Null]
[Step 179] Action: [Move to LEFT ARM]
[Step 179] Observation: [LEFT ARM,  Loss!, Null]
[Step 180] Action: [Move to LEFT ARM]
[Step 180] Observation: [LEFT ARM,  Loss!, Null]
[Step 181] Action: [Move to LEFT ARM]
[Step 181] Observation: [LEFT ARM,  Reward!, Null]
[Step 182] Action: [Move to LEFT ARM]
[Step 182] Observation: [LEFT ARM,  Reward!, Null]
[Step 183] Action: [Move to LEFT ARM]
[Step 183] Observation: [LEFT ARM,  Reward!, Null]
[Step 184] Action: [Move to LEFT ARM]
[Step 184] Observation: [LEFT ARM,  Reward!, Null]
[Step 185] Action: [Move to LEFT ARM]
[Step 185] Observation: [LEFT ARM,  Reward!, Null]
[Step 186] Action: [Move to LEFT ARM]
[Step 186] Observation: [LEFT ARM,  Loss!, Null]
[Step 187] Action: [Move to LEFT ARM]
[Step 187] Observation: [LEFT ARM,  Reward!, Null]
[Step 188] Action: [Move to LEFT ARM]
[Step 188] Observation: [LEFT ARM,  Reward!, Null]
[Step 189] Action: [Move to LEFT ARM]
[Step 189] Observation: [LEFT ARM,  Reward!, Null]
[Step 190] Action: [Move to LEFT ARM]
[Step 190] Observation: [LEFT ARM,  Reward!, Null]
[Step 191] Action: [Move to LEFT ARM]
[Step 191] Observation: [LEFT ARM,  Reward!, Null]
[Step 192] Action: [Move to LEFT ARM]
[Step 192] Observation: [LEFT ARM,  Reward!, Null]
[Step 193] Action: [Move to LEFT ARM]
[Step 193] Observation: [LEFT ARM,  Reward!, Null]
[Step 194] Action: [Move to LEFT ARM]
[Step 194] Observation: [LEFT ARM,  Reward!, Null]
[Step 195] Action: [Move to LEFT ARM]
[Step 195] Observation: [LEFT ARM,  Loss!, Null]
[Step 196] Action: [Move to LEFT ARM]
[Step 196] Observation: [LEFT ARM,  Reward!, Null]
[Step 197] Action: [Move to LEFT ARM]
[Step 197] Observation: [LEFT ARM,  Reward!, Null]
[Step 198] Action: [Move to LEFT ARM]
[Step 198] Observation: [LEFT ARM,  Loss!, Null]
[Step 199] Action: [Move to LEFT ARM]
[Step 199] Observation: [LEFT ARM,  Reward!, Null]
[Step 200] Action: [Move to LEFT ARM]
[Step 200] Observation: [LEFT ARM,  Reward!, Null]
[Step 201] Action: [Move to LEFT ARM]
[Step 201] Observation: [LEFT ARM,  Reward!, Null]
[Step 202] Action: [Move to LEFT ARM]
[Step 202] Observation: [LEFT ARM,  Reward!, Null]
[Step 203] Action: [Move to LEFT ARM]
[Step 203] Observation: [LEFT ARM,  Reward!, Null]
[Step 204] Action: [Move to LEFT ARM]
[Step 204] Observation: [LEFT ARM,  Reward!, Null]
[Step 205] Action: [Move to LEFT ARM]
[Step 205] Observation: [LEFT ARM,  Reward!, Null]
[Step 206] Action: [Move to LEFT ARM]
[Step 206] Observation: [LEFT ARM,  Reward!, Null]
[Step 207] Action: [Move to LEFT ARM]
[Step 207] Observation: [LEFT ARM,  Reward!, Null]
[Step 208] Action: [Move to LEFT ARM]
[Step 208] Observation: [LEFT ARM,  Loss!, Null]
[Step 209] Action: [Move to LEFT ARM]
[Step 209] Observation: [LEFT ARM,  Loss!, Null]
[Step 210] Action: [Move to LEFT ARM]
[Step 210] Observation: [LEFT ARM,  Reward!, Null]
[Step 211] Action: [Move to LEFT ARM]
[Step 211] Observation: [LEFT ARM,  Reward!, Null]
[Step 212] Action: [Move to LEFT ARM]
[Step 212] Observation: [LEFT ARM,  Reward!, Null]
[Step 213] Action: [Move to LEFT ARM]
[Step 213] Observation: [LEFT ARM,  Reward!, Null]
[Step 214] Action: [Move to LEFT ARM]
[Step 214] Observation: [LEFT ARM,  Reward!, Null]
[Step 215] Action: [Move to LEFT ARM]
[Step 215] Observation: [LEFT ARM,  Reward!, Null]
[Step 216] Action: [Move to LEFT ARM]
[Step 216] Observation: [LEFT ARM,  Loss!, Null]
[Step 217] Action: [Move to LEFT ARM]
[Step 217] Observation: [LEFT ARM,  Reward!, Null]
[Step 218] Action: [Move to LEFT ARM]
[Step 218] Observation: [LEFT ARM,  Reward!, Null]
[Step 219] Action: [Move to LEFT ARM]
[Step 219] Observation: [LEFT ARM,  Reward!, Null]
[Step 220] Action: [Move to LEFT ARM]
[Step 220] Observation: [LEFT ARM,  Reward!, Null]
[Step 221] Action: [Move to LEFT ARM]
[Step 221] Observation: [LEFT ARM,  Reward!, Null]
[Step 222] Action: [Move to LEFT ARM]
[Step 222] Observation: [LEFT ARM,  Reward!, Null]
[Step 223] Action: [Move to LEFT ARM]
[Step 223] Observation: [LEFT ARM,  Reward!, Null]
[Step 224] Action: [Move to LEFT ARM]
[Step 224] Observation: [LEFT ARM,  Reward!, Null]
[Step 225] Action: [Move to LEFT ARM]
[Step 225] Observation: [LEFT ARM,  Reward!, Null]
[Step 226] Action: [Move to LEFT ARM]
[Step 226] Observation: [LEFT ARM,  Reward!, Null]
[Step 227] Action: [Move to LEFT ARM]
[Step 227] Observation: [LEFT ARM,  Reward!, Null]
[Step 228] Action: [Move to LEFT ARM]
[Step 228] Observation: [LEFT ARM,  Reward!, Null]
[Step 229] Action: [Move to LEFT ARM]
[Step 229] Observation: [LEFT ARM,  Reward!, Null]
[Step 230] Action: [Move to LEFT ARM]
